"id, title, price, promo_price, url"
3596763,Конструктор LEGO Classic Вокруг света 11015,5389,4499,https://www.detmir.ru/product/index/id/3596763/
3166176,Конструктор LEGO Minifigures Серия Disney 2 71024,289,,https://www.detmir.ru/product/index/id/3166176/
3405557,Конструктор LEGO Friends Кьюб Эммы с далматинцем 41663,889,609,https://www.detmir.ru/product/index/id/3405557/
3405549,Конструктор LEGO Friends Кинотеатр Хартлейк-Сити 41448,5389,,https://www.detmir.ru/product/index/id/3405549/
3596887,Конструктор LEGO City Stunt 60297,709,629,https://www.detmir.ru/product/index/id/3596887/
3405534,Конструктор LEGO Jurassic World Побег динозавров: тираннозавр и трицератопс 10939,3109,,https://www.detmir.ru/product/index/id/3405534/
3405543,Конструктор LEGO Disney Princess Праздничный корабль Ариэль 43191,3109,,https://www.detmir.ru/product/index/id/3405543/
3405630,Конструктор LEGO Ninjago Легендарные битвы: Джей против воина-серпентина 71732,949,849,https://www.detmir.ru/product/index/id/3405630/
3597019,Конструктор LEGO Ninjago Храм Бескрайнего моря 71755,11989,9999,https://www.detmir.ru/product/index/id/3597019/
3599721,Конструктор LEGO VIDIYO Candy Castle Stage (Сцена карамельного замка) 43111,2989,2259,https://www.detmir.ru/product/index/id/3599721/
3239916,Набор для творчества LEGO DOTS Браслет Попугайчики 41912,529,299,https://www.detmir.ru/product/index/id/3239916/
3156354,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека 76125,6589,,https://www.detmir.ru/product/index/id/3156354/
3777767,Конструктор LEGO Harry Potter Новогодний календарь 76390,3109,,https://www.detmir.ru/product/index/id/3777767/
619001,Конструктор LEGO Classic Набор для творчества большого размера (10698),4549,3824,https://www.detmir.ru/product/index/id/619001/
3594634,Конструктор LEGO Star Wars Имперский разведывательный дроид 75306,8389,,https://www.detmir.ru/product/index/id/3594634/
3596800,Конструктор LEGO Friends Волшебное колесо обозрения и горка 41689,6589,,https://www.detmir.ru/product/index/id/3596800/
3405546,Конструктор LEGO Disney Princess Книга сказочных приключений Эльзы и Нока 43189,2029,1349,https://www.detmir.ru/product/index/id/3405546/
3596777,Конструктор LEGO Friends Кьюб для балета Стефани 41670,889,579,https://www.detmir.ru/product/index/id/3596777/
3200890,Конструктор LEGO Star Wars Йода 75255,11389,,https://www.detmir.ru/product/index/id/3200890/
3144096,Конструктор LEGO Creator Обитатели морских глубин 31088,1669,,https://www.detmir.ru/product/index/id/3144096/
3405565,Конструктор LEGO Dots Креативный набор для праздника 41926,2389,,https://www.detmir.ru/product/index/id/3405565/
3244485,Конструктор LEGO Creator Отпуск в доме на колесах 31108,8989,,https://www.detmir.ru/product/index/id/3244485/
3596926,Конструктор LEGO Super Mario Падающая башня босса братца-сумо 71388,3229,2599,https://www.detmir.ru/product/index/id/3596926/
3405526,Конструктор LEGO DUPLO My First Единорог 10953,949,,https://www.detmir.ru/product/index/id/3405526/
3596972,Конструктор LEGO Ninjago Мотоцикл Кая 71734,949,799,https://www.detmir.ru/product/index/id/3596972/
3405644,Конструктор LEGO Star Wars Мандалорец и малыш 75317,2149,,https://www.detmir.ru/product/index/id/3405644/
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439,949,799,https://www.detmir.ru/product/index/id/3405553/
3596711,Конструктор LEGO Mickey and Friends Винтовой самолёт Микки 10772,949,,https://www.detmir.ru/product/index/id/3596711/
3405547,Конструктор LEGO Friends Электромобиль Оливии 41443,1549,1299,https://www.detmir.ru/product/index/id/3405547/
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192,10189,,https://www.detmir.ru/product/index/id/3597029/
3596770,Конструктор LEGO Creator Колесо обозрения 31119,10189,,https://www.detmir.ru/product/index/id/3596770/
3405607,Конструктор LEGO Super Heroes 76170,2149,,https://www.detmir.ru/product/index/id/3405607/
3594627,Конструктор LEGO Super Heroes Побег от Десяти колец 76176,3349,,https://www.detmir.ru/product/index/id/3594627/
3596774,Конструктор LEGO Friends Кьюб Оливии для игр 41667,889,799,https://www.detmir.ru/product/index/id/3596774/
3498476,Конструктор LEGO Vidiyo Битбокс Пирата Панка 43103,1789,1149,https://www.detmir.ru/product/index/id/3498476/
3596796,Конструктор LEGO Friends Волшебный фургон 41688,5389,4599,https://www.detmir.ru/product/index/id/3596796/
3596778,Конструктор LEGO Friends Кьюб Андреа для плавания 41671,889,699,https://www.detmir.ru/product/index/id/3596778/
3099183,Конструктор LEGO City Trains Рельсы 60205,1789,,https://www.detmir.ru/product/index/id/3099183/
3226589,Конструктор LEGO Creator Спортивный автомобиль 31100,1069,,https://www.detmir.ru/product/index/id/3226589/
3200881,Конструктор LEGO Disney Frozen Деревня в Эренделле 41167,8989,,https://www.detmir.ru/product/index/id/3200881/
3597050,Конструктор LEGO Speed Champions Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A 76904,6589,,https://www.detmir.ru/product/index/id/3597050/
3594626,Конструктор LEGO Minifigures Минифигурки Looney Tunes в непрозрачной упаковке (Сюрприз)71030,329,,https://www.detmir.ru/product/index/id/3594626/
3244576,Конструктор LEGO Super Mario Огневой налёт Билла-банзай 71366,3229,2099,https://www.detmir.ru/product/index/id/3244576/
3405560,Конструктор LEGO Friends Кьюб Андреа с кроликом 41666,889,619,https://www.detmir.ru/product/index/id/3405560/
3597048,Конструктор LEGO Speed Champions McLaren Elva 76902,2149,,https://www.detmir.ru/product/index/id/3597048/
3226632,Конструктор LEGO Technic Гоночный автомобиль Top Gear 42109,14989,,https://www.detmir.ru/product/index/id/3226632/
3405632,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок трансфигурации 76382,3349,,https://www.detmir.ru/product/index/id/3405632/
3596715,Конструктор LEGO Mickey and Friends Пожарная часть и машина Микки и его друзей 10776,5389,3769,https://www.detmir.ru/product/index/id/3596715/
3405580,Конструктор LEGO City Town Дорожные пластины 60304,1789,1599,https://www.detmir.ru/product/index/id/3405580/
2496001,Конструктор LEGO Creator Грозный динозавр (31058),1669,,https://www.detmir.ru/product/index/id/2496001/
3599719,Конструктор LEGO VIDIYO Metal Dragon BeatBox (Битбокс Дракона-Металлиста) 43109,1789,1349,https://www.detmir.ru/product/index/id/3599719/
3405592,Конструктор LEGO City Great Vehicles Трактор 60287,1789,1499,https://www.detmir.ru/product/index/id/3405592/
3498474,Конструктор LEGO Vidiyo Бэндмейты 43101,469,409,https://www.detmir.ru/product/index/id/3498474/
3405654,Конструктор LEGO Technic Bugatti Chiron 42083,41869,,https://www.detmir.ru/product/index/id/3405654/
3596747,Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора 10945,1789,,https://www.detmir.ru/product/index/id/3596747/
3018899,Конструктор LEGO Синяя базовая пластина Classic (10714),709,491,https://www.detmir.ru/product/index/id/3018899/
3181586,Конструктор LEGO Star Wars Спасение Люка на планете Хот 75203,3589,,https://www.detmir.ru/product/index/id/3181586/
3226561,Конструктор LEGO DUPLO Princess Чаепитие у Эльзы и Олафа 10920,2029,,https://www.detmir.ru/product/index/id/3226561/
3405620,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей 71745,2029,,https://www.detmir.ru/product/index/id/3405620/
3244543,Конструктор LEGO Minions Миньоны в лаборатории Грю 75546,2149,,https://www.detmir.ru/product/index/id/3244543/
3405616,Конструктор LEGO Super Mario набор усилений Марио-пингвин 71384,1069,739,https://www.detmir.ru/product/index/id/3405616/
3188096,Конструктор LEGO DUPLO Princess Ледяной замок 10899,5389,4849,https://www.detmir.ru/product/index/id/3188096/
3226648,Конструктор LEGO City Police Полицейский отряд с собакой 60241,889,799,https://www.detmir.ru/product/index/id/3226648/
3156351,Конструктор LEGO 4+ Парк аттракционов Базза и Вуди 10770,4789,3879,https://www.detmir.ru/product/index/id/3156351/
3405595,Конструктор LEGO Minifigures Минифигурки Серия 21 71029,289,,https://www.detmir.ru/product/index/id/3405595/
3405576,Конструктор LEGO Dots Браслет Музыка 41933,589,,https://www.detmir.ru/product/index/id/3405576/
3596890,Конструктор LEGO City Wildlife Спасательный вездеход для зверей 60300,889,799,https://www.detmir.ru/product/index/id/3596890/
3156347,Конструктор LEGO 4+ Трюковое шоу Дюка Бубумса 10767,1789,1449,https://www.detmir.ru/product/index/id/3156347/
3226725,Конструктор LEGO Star Wars Истребитель Сид ситхов 75272,7569,,https://www.detmir.ru/product/index/id/3226725/
3889880,Конструктор LEGO Super Heroes Человек-паук против атаки дронов Мистерио 76184,2149,,https://www.detmir.ru/product/index/id/3889880/
3596976,Конструктор LEGO Ninjago Спидер-амфибия ниндзя 71752,4309,,https://www.detmir.ru/product/index/id/3596976/
3596843,Конструктор LEGO Dots Брелок для сумки Единорог 41940,649,,https://www.detmir.ru/product/index/id/3596843/
3226681,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров 60254,2989,2499,https://www.detmir.ru/product/index/id/3226681/
